target,src,round,rule,true_hv_gain,recall,diversity
KIT,analytic_pomhi,4,analytic_ehvi,2.8724365234375,0.04,0.35900827311767775
KIT,analytic_pomhi,4,analytic_pomhi,2.844818115234375,0.03,0.3541581888592959
KIT,analytic_pomhi,4,random,0.0,0.03,0.3688772693142506
KIT,analytic_pomhi,5,greedy_mean,0.2351226806640625,0.86,0.3770890522020413
KIT,analytic_pomhi,5,analytic_ehvi,0.803375244140625,0.16,0.3492205761362654
KIT,analytic_pomhi,5,analytic_pomhi,0.803375244140625,0.16,0.32692606334404567
KIT,analytic_pomhi,5,random,0.0012969970703125,0.07,0.36277003024072424
KIT,analytic_pomhi,6,greedy_mean,0.028411865234375,0.82,0.352755704589793
KIT,analytic_pomhi,6,analytic_ehvi,0.1172943115234375,0.08,0.3899977345274346
KIT,analytic_pomhi,6,analytic_pomhi,0.0888824462890625,0.06,0.38662736059708025
KIT,analytic_pomhi,6,random,0.0,0.01,0.4111025771589142
KIT,analytic_pomhi,7,greedy_mean,0.104949951171875,0.83,0.32875913458681505
KIT,analytic_pomhi,7,analytic_ehvi,2.3298492431640625,0.17,0.3850077945497736
KIT,analytic_pomhi,7,analytic_pomhi,2.3308868408203125,0.18,0.38351645268159257
KIT,analytic_pomhi,7,random,0.0,0.05,0.3801406314211157
KIT,analytic_pomhi,8,greedy_mean,0.0543212890625,0.9,0.36223172992550995
KIT,analytic_pomhi,8,analytic_ehvi,0.1739044189453125,0.11,0.371692591321808
KIT,analytic_pomhi,8,analytic_pomhi,0.1753387451171875,0.12,0.3626901486046983
KIT,analytic_pomhi,8,random,0.0,0.05,0.3630089791439683
KIT,analytic_pomhi,9,greedy_mean,0.00860595703125,0.93,0.3519401986882675
KIT,analytic_pomhi,9,analytic_ehvi,0.303802490234375,0.09,0.34229920370416095
KIT,analytic_pomhi,9,analytic_pomhi,0.303802490234375,0.1,0.3398610899037353
KIT,analytic_pomhi,9,random,0.0350341796875,0.05,0.36496173070047
KIT,analytic_pomhi,10,greedy_mean,0.0,0.86,0.3462986401506598
