target,method,round,recovery_mean,recovery_std,n_runs
PARP1,random,1,0.36198621837929723,0.1764138457641345,3
PARP1,random,2,0.42649493872285343,0.1285278085126844,3
PARP1,random,3,0.43979393033682773,0.2137711771877027,3
PARP1,random,4,0.43527644399139503,0.22058487951971525,3
PARP1,random,5,0.49962219541551584,0.15686322317583345,3
PARP1,random,6,0.5623091231449405,0.18368790479493732,3
PARP1,random,7,0.5615840616031794,0.1710517794999248,3
PARP1,random,8,0.5859157193870684,0.1809491975003927,3
PARP1,random,9,0.6127286557593102,0.18545868854761674,3
PARP1,random,10,0.6223444035144898,0.18120487368225446,3
