target,seed,method,source_method,round,base_hv,upper_hv,hv,gain_ratio,gap_to_upper
JAK2,42,upper_bound,random,4,180.6273193359375,206.4581298828125,206.4581298828125,1.0,0.0
JAK2,42,upper_bound,random,5,180.6273193359375,206.59552001953125,206.59552001953125,1.0,0.0
JAK2,42,upper_bound,random,6,180.6273193359375,206.62672424316406,206.62672424316406,1.0,0.0
JAK2,42,upper_bound,random,7,180.6273193359375,206.77191162109375,206.77191162109375,1.0,0.0
JAK2,42,upper_bound,random,8,180.6273193359375,206.90684509277344,206.90684509277344,1.0,0.0
JAK2,42,upper_bound,random,9,180.6273193359375,207.62054443359375,207.62054443359375,1.0,0.0
JAK2,42,upper_bound,random,10,180.6273193359375,207.86488342285156,207.86488342285156,1.0,0.0
JAK2,42,random,random,10,180.6273193359375,207.86488342285156,193.4663543701172,0.471372366236966,14.398529052734375
KIT,42,upper_bound,random,0,172.8856964111328,172.8856964111328,172.8856964111328,0.0,0.0
KIT,42,upper_bound,random,1,172.8856964111328,190.19322204589844,190.19322204589844,1.0,0.0
KIT,42,upper_bound,random,2,172.8856964111328,194.26321411132812,194.26321411132812,1.0,0.0
KIT,42,upper_bound,random,3,172.8856964111328,195.82688903808594,195.82688903808594,1.0,0.0
KIT,42,upper_bound,random,4,172.8856964111328,196.17100524902344,196.17100524902344,1.0,0.0
KIT,42,upper_bound,random,5,172.8856964111328,197.35462951660156,197.35462951660156,1.0,0.0
KIT,42,upper_bound,random,6,172.8856964111328,197.56961059570312,197.56961059570312,1.0,0.0
KIT,42,upper_bound,random,7,172.8856964111328,197.78659057617188,197.78659057617188,1.0,0.0
KIT,42,upper_bound,random,8,172.8856964111328,197.81642150878906,197.81642150878906,1.0,0.0
KIT,42,upper_bound,random,9,172.8856964111328,197.86221313476562,197.86221313476562,1.0,0.0
KIT,42,upper_bound,random,10,172.8856964111328,197.89706420898438,197.89706420898438,1.0,0.0
KIT,42,random,random,10,172.8856964111328,197.89706420898438,187.31280517578125,0.5768220627217239,10.584259033203125
PARP1,42,upper_bound,random,0,196.12217712402344,196.12217712402344,196.12217712402344,0.0,0.0
PARP1,42,upper_bound,random,1,196.12217712402344,210.53770446777344,210.53770446777344,1.0,0.0
PARP1,42,upper_bound,random,2,196.12217712402344,214.09768676757812,214.09768676757812,1.0,0.0
PARP1,42,upper_bound,random,3,196.12217712402344,221.97019958496094,221.97019958496094,1.0,0.0
PARP1,42,upper_bound,random,4,196.12217712402344,223.06886291503906,223.06886291503906,1.0,0.0
PARP1,42,upper_bound,random,5,196.12217712402344,225.27276611328125,225.27276611328125,1.0,0.0
PARP1,42,upper_bound,random,6,196.12217712402344,225.4349365234375,225.4349365234375,1.0,0.0
PARP1,42,upper_bound,random,7,196.12217712402344,225.55429077148438,225.55429077148438,1.0,0.0
PARP1,42,upper_bound,random,8,196.12217712402344,225.75181579589844,225.75181579589844,1.0,0.0
PARP1,42,upper_bound,random,9,196.12217712402344,225.96546936035156,225.96546936035156,1.0,0.0
PARP1,42,upper_bound,random,10,196.12217712402344,226.33787536621094,226.33787536621094,1.0,0.0
PARP1,42,random,random,10,196.12217712402344,226.33787536621094,208.6138610839844,0.4134170211734487,17.724014282226534
ESR2,43,upper_bound,random,0,158.84103393554688,158.84103393554688,158.84103393554688,0.0,0.0
ESR2,43,upper_bound,random,1,158.84103393554688,184.64414978027344,184.64414978027344,1.0,0.0
ESR2,43,upper_bound,random,2,158.84103393554688,185.638427734375,185.638427734375,1.0,0.0
ESR2,43,upper_bound,random,3,158.84103393554688,186.73538208007812,186.73538208007812,1.0,0.0
ESR2,43,upper_bound,random,4,158.84103393554688,187.39315795898438,187.39315795898438,1.0,0.0
ESR2,43,upper_bound,random,5,158.84103393554688,188.53741455078125,188.53741455078125,1.0,0.0
ESR2,43,upper_bound,random,6,158.84103393554688,189.06036376953125,189.06036376953125,1.0,0.0
ESR2,43,upper_bound,random,7,158.84103393554688,191.62725830078125,191.62725830078125,1.0,0.0
ESR2,43,upper_bound,random,8,158.84103393554688,191.72337341308594,191.72337341308594,1.0,0.0
ESR2,43,upper_bound,random,9,158.84103393554688,192.02841186523438,192.02841186523438,1.0,0.0
ESR2,43,upper_bound,random,10,158.84103393554688,192.04208374023438,192.04208374023438,1.0,0.0
ESR2,43,random,random,10,158.84103393554688,192.04208374023438,178.81832885742188,0.6017067243173286,13.2237548828125
F2,43,upper_bound,random,0,180.01705932617188,180.01705932617188,180.01705932617188,0.0,0.0
F2,43,upper_bound,random,1,180.01705932617188,185.8894805908203,185.8894805908203,1.0,0.0
F2,43,upper_bound,random,2,180.01705932617188,190.2013702392578,190.2013702392578,1.0,0.0
F2,43,upper_bound,random,3,180.01705932617188,190.69180297851562,190.69180297851562,1.0,0.0
F2,43,upper_bound,random,4,180.01705932617188,191.50103759765625,191.50103759765625,1.0,0.0
F2,43,upper_bound,random,5,180.01705932617188,193.18820190429688,193.18820190429688,1.0,0.0
F2,43,upper_bound,random,6,180.01705932617188,194.88572692871094,194.88572692871094,1.0,0.0
F2,43,upper_bound,random,7,180.01705932617188,197.031005859375,197.031005859375,1.0,0.0
F2,43,upper_bound,random,8,180.01705932617188,197.09591674804688,197.09591674804688,1.0,0.0
