panel_id,compound_id,compound_name,cell_line,plate_id,source_sheet,measurement_type,replicate,od450
M5,T6980,Scriptaid,HT-29,2,HT-29 2,treatment,3,0.3302
M5,T6980,Scriptaid,HT-29,2,HT-29 2,normalization_reference,1,2.0179
M5,T6980,Scriptaid,HT-29,2,HT-29 2,normalization_reference,2,1.8466
M5,T6980,Scriptaid,HT-29,2,HT-29 2,normalization_reference,3,1.8658
M5,T6980,Scriptaid,HT-29,2,HT-29 2,blank,1,0.1952
M5,T6980,Scriptaid,HT-29,2,HT-29 2,blank,2,0.1847
M5,T6980,Scriptaid,HT-29,2,HT-29 2,blank,3,0.1932
M6,T60904,ERCC1-XPF-IN-2,HT-29,2,HT-29 2,treatment,1,1.8353
M6,T60904,ERCC1-XPF-IN-2,HT-29,2,HT-29 2,treatment,2,1.9799
M6,T60904,ERCC1-XPF-IN-2,HT-29,2,HT-29 2,treatment,3,1.919
M6,T60904,ERCC1-XPF-IN-2,HT-29,2,HT-29 2,normalization_reference,1,2.0179
M6,T60904,ERCC1-XPF-IN-2,HT-29,2,HT-29 2,normalization_reference,2,1.8466
M6,T60904,ERCC1-XPF-IN-2,HT-29,2,HT-29 2,normalization_reference,3,1.8658
M6,T60904,ERCC1-XPF-IN-2,HT-29,2,HT-29 2,blank,1,0.1952
M6,T60904,ERCC1-XPF-IN-2,HT-29,2,HT-29 2,blank,2,0.1847
M6,T60904,ERCC1-XPF-IN-2,HT-29,2,HT-29 2,blank,3,0.1932
M1,T9335,"1,1'-Methylenedi-2-naphthol",SW480,1,SW480 1,treatment,1,0.9403
M1,T9335,"1,1'-Methylenedi-2-naphthol",SW480,1,SW480 1,treatment,2,0.9325
M1,T9335,"1,1'-Methylenedi-2-naphthol",SW480,1,SW480 1,treatment,3,0.9319
M1,T9335,"1,1'-Methylenedi-2-naphthol",SW480,1,SW480 1,normalization_reference,1,1.183
M1,T9335,"1,1'-Methylenedi-2-naphthol",SW480,1,SW480 1,normalization_reference,2,1.1657
M1,T9335,"1,1'-Methylenedi-2-naphthol",SW480,1,SW480 1,normalization_reference,3,1.154
M1,T9335,"1,1'-Methylenedi-2-naphthol",SW480,1,SW480 1,blank,1,0.3476
M1,T9335,"1,1'-Methylenedi-2-naphthol",SW480,1,SW480 1,blank,2,0.3241
M1,T9335,"1,1'-Methylenedi-2-naphthol",SW480,1,SW480 1,blank,3,0.3378
M2,T61189,E7016,SW480,1,SW480 1,treatment,1,0.7714
M2,T61189,E7016,SW480,1,SW480 1,treatment,2,0.773
M2,T61189,E7016,SW480,1,SW480 1,treatment,3,0.7877
M2,T61189,E7016,SW480,1,SW480 1,normalization_reference,1,1.183
M2,T61189,E7016,SW480,1,SW480 1,normalization_reference,2,1.1657
M2,T61189,E7016,SW480,1,SW480 1,normalization_reference,3,1.154
M2,T61189,E7016,SW480,1,SW480 1,blank,1,0.3476
M2,T61189,E7016,SW480,1,SW480 1,blank,2,0.3241
M2,T61189,E7016,SW480,1,SW480 1,blank,3,0.3378
M3,T12502,PLpro inhibitor,SW480,2,SW480 2,treatment,1,1.0953
M3,T12502,PLpro inhibitor,SW480,2,SW480 2,treatment,2,1.1118
M3,T12502,PLpro inhibitor,SW480,2,SW480 2,treatment,3,1.1238
M3,T12502,PLpro inhibitor,SW480,2,SW480 2,normalization_reference,1,1.1675
M3,T12502,PLpro inhibitor,SW480,2,SW480 2,normalization_reference,2,1.1665
M3,T12502,PLpro inhibitor,SW480,2,SW480 2,normalization_reference,3,1.1679
M3,T12502,PLpro inhibitor,SW480,2,SW480 2,blank,1,0.3461
M3,T12502,PLpro inhibitor,SW480,2,SW480 2,blank,2,0.316
M3,T12502,PLpro inhibitor,SW480,2,SW480 2,blank,3,0.3284
M4,T6853,GSK591,SW480,2,SW480 2,treatment,1,0.9703
M4,T6853,GSK591,SW480,2,SW480 2,treatment,2,1.0821
M4,T6853,GSK591,SW480,2,SW480 2,treatment,3,1.0824
M4,T6853,GSK591,SW480,2,SW480 2,normalization_reference,1,1.1675
M4,T6853,GSK591,SW480,2,SW480 2,normalization_reference,2,1.1665
M4,T6853,GSK591,SW480,2,SW480 2,normalization_reference,3,1.1679
M4,T6853,GSK591,SW480,2,SW480 2,blank,1,0.3461
M4,T6853,GSK591,SW480,2,SW480 2,blank,2,0.316
M4,T6853,GSK591,SW480,2,SW480 2,blank,3,0.3284
M5,T6980,Scriptaid,SW480,2,SW480 2,treatment,1,0.5196
M5,T6980,Scriptaid,SW480,2,SW480 2,treatment,2,0.5098
M5,T6980,Scriptaid,SW480,2,SW480 2,treatment,3,0.5093
M5,T6980,Scriptaid,SW480,2,SW480 2,normalization_reference,1,1.1675
M5,T6980,Scriptaid,SW480,2,SW480 2,normalization_reference,2,1.1665
M5,T6980,Scriptaid,SW480,2,SW480 2,normalization_reference,3,1.1679
M5,T6980,Scriptaid,SW480,2,SW480 2,blank,1,0.3461
M5,T6980,Scriptaid,SW480,2,SW480 2,blank,2,0.316
M5,T6980,Scriptaid,SW480,2,SW480 2,blank,3,0.3284
M6,T60904,ERCC1-XPF-IN-2,SW480,2,SW480 2,treatment,1,0.9629
M6,T60904,ERCC1-XPF-IN-2,SW480,2,SW480 2,treatment,2,0.9579
M6,T60904,ERCC1-XPF-IN-2,SW480,2,SW480 2,treatment,3,0.9694
M6,T60904,ERCC1-XPF-IN-2,SW480,2,SW480 2,normalization_reference,1,1.1675
M6,T60904,ERCC1-XPF-IN-2,SW480,2,SW480 2,normalization_reference,2,1.1665
M6,T60904,ERCC1-XPF-IN-2,SW480,2,SW480 2,normalization_reference,3,1.1679
M6,T60904,ERCC1-XPF-IN-2,SW480,2,SW480 2,blank,1,0.3461
M6,T60904,ERCC1-XPF-IN-2,SW480,2,SW480 2,blank,2,0.316
