record_id,input_smiles,source_name
CHEMBL493,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,ChEMBL max_phase=4 local paged JSON
CHEMBL494,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,ChEMBL max_phase=4 local paged JSON
CHEMBL84,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,ChEMBL max_phase=4 local paged JSON
CHEMBL85,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,ChEMBL max_phase=4 local paged JSON
CHEMBL428880,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,ChEMBL max_phase=4 local paged JSON
CHEMBL86,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,ChEMBL max_phase=4 local paged JSON
CHEMBL428647,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,ChEMBL max_phase=4 local paged JSON
CHEMBL495,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,ChEMBL max_phase=4 local paged JSON
CHEMBL496,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,ChEMBL max_phase=4 local paged JSON
CHEMBL497,Oc1c(I)cc(Cl)c2cccnc12,ChEMBL max_phase=4 local paged JSON
CHEMBL10878,COc1ccc2cccc(CCNC(C)=O)c2c1,ChEMBL max_phase=4 local paged JSON
CHEMBL88,O=P1(N(CCCl)CCCl)NCCCO1,ChEMBL max_phase=4 local paged JSON
CHEMBL498,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL499,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,ChEMBL max_phase=4 local paged JSON
CHEMBL500,CC(C)NCC(O)COc1cccc2[nH]ccc12,ChEMBL max_phase=4 local paged JSON
CHEMBL276832,NNc1nncc2ccccc12,ChEMBL max_phase=4 local paged JSON
CHEMBL501,CC(N)Cc1ccccc1.O=S(=O)(O)O,ChEMBL max_phase=4 local paged JSON
CHEMBL267345,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,ChEMBL max_phase=4 local paged JSON
CHEMBL90,NCCc1c[nH]cn1,ChEMBL max_phase=4 local paged JSON
CHEMBL91,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,ChEMBL max_phase=4 local paged JSON
CHEMBL92,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,ChEMBL max_phase=4 local paged JSON
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,ChEMBL max_phase=4 local paged JSON
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,ChEMBL max_phase=4 local paged JSON
CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,ChEMBL max_phase=4 local paged JSON
CHEMBL503,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,ChEMBL max_phase=4 local paged JSON
CHEMBL11662,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL269644,CC(=O)Nc1ccccc1,ChEMBL max_phase=4 local paged JSON
CHEMBL504,C[S+](C)[O-],ChEMBL max_phase=4 local paged JSON
CHEMBL505,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,ChEMBL max_phase=4 local paged JSON
CHEMBL506,COc1cc(NC(C)CCCN)c2ncccc2c1,ChEMBL max_phase=4 local paged JSON
CHEMBL509,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,ChEMBL max_phase=4 local paged JSON
CHEMBL511,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL12713,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,ChEMBL max_phase=4 local paged JSON
CHEMBL513,O=NN(CCCl)C(=O)NCCCl,ChEMBL max_phase=4 local paged JSON
CHEMBL514,O=NN(CCCl)C(=O)NC1CCCCC1,ChEMBL max_phase=4 local paged JSON
CHEMBL515,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL516,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,ChEMBL max_phase=4 local paged JSON
CHEMBL12856,Nc1cc(-c2ccncc2)c[nH]c1=O,ChEMBL max_phase=4 local paged JSON
CHEMBL517,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,ChEMBL max_phase=4 local paged JSON
CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,ChEMBL max_phase=4 local paged JSON
CHEMBL521,CC(C)Cc1ccc(C(C)C(=O)O)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL13376,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,ChEMBL max_phase=4 local paged JSON
CHEMBL13280,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,ChEMBL max_phase=4 local paged JSON
CHEMBL524,COc1ccc(OC)c(C(O)C(C)N)c1,ChEMBL max_phase=4 local paged JSON
CHEMBL526,CC(C)c1cccc(C(C)C)c1O,ChEMBL max_phase=4 local paged JSON
CHEMBL527,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,ChEMBL max_phase=4 local paged JSON
CHEMBL528,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,ChEMBL max_phase=4 local paged JSON
CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,ChEMBL max_phase=4 local paged JSON
CHEMBL529,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,ChEMBL max_phase=4 local paged JSON
CHEMBL530,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,ChEMBL max_phase=4 local paged JSON
CHEMBL531,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,ChEMBL max_phase=4 local paged JSON
CHEMBL532,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,ChEMBL max_phase=4 local paged JSON
CHEMBL533,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,ChEMBL max_phase=4 local paged JSON
CHEMBL534,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,ChEMBL max_phase=4 local paged JSON
CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,ChEMBL max_phase=4 local paged JSON
