target,method,round,hv_mean,hv_sd,delta_vs_greedy_round_hv_mean,threshold_rate_mean,mean_selected_dock_mean,candidate_test_spearman_mean,candidate_test_cov2_mean,train_seconds_mean,score_seconds_mean
ESR2,qnparego_mc,8,189.3393981933594,3.146632018538291,1.215203857421858,0.01,-8.2962,0.5614079495138647,0.9303487273338513,209.76462503373622,3.2678149446845053
ESR2,qnparego_mc,9,191.42827453613282,1.973758125225838,2.9554748535156308,0.014000000000000002,-8.404,0.5815423693667141,0.9372829517997865,248.25394723303617,3.233352078869939
ESR2,qnparego_mc,10,192.28140869140626,2.4530547755785608,3.56734313964846,0.008,-8.386199999999999,0.5674877834187897,0.9395024291497975,263.67718350924554,3.1996517688035966
ESR2,random,1,168.67819519042968,3.1780261303433073,-6.78089599609375,0.0,-7.731400000000001,0.43464500203098577,0.9795228091942014,76.76439858414233,3.428003443032503
ESR2,random,2,173.48410339355468,0.47368707977658686,-6.108145141601563,0.0,-7.7744,0.490375008902692,0.9637929528550127,94.01191685274243,3.226592827960849
ESR2,random,3,175.93942565917968,1.2934703024024639,-7.135665893554671,0.004,-7.6958,0.5310978229084242,0.9575581660688044,137.88739285729827,3.274724481999874
ESR2,random,4,177.3867614746094,1.525994214026993,-6.932299804687494,0.004,-7.728999999999999,0.5412411414646578,0.9498991532607789,143.58437549360096,3.2747402057051658
ESR2,random,5,179.21570434570313,1.9413055108774189,-6.430059814453108,0.004,-7.869199999999999,0.5516029128981768,0.9546688762102569,157.39253224544228,3.3341946925967934
ESR2,random,6,180.36180114746094,1.4953093437578957,-6.104837036132807,0.012,-7.808400000000001,0.5739949264021079,0.9543803394119529,204.56623372212053,3.474266827479005
ESR2,random,7,182.97943115234375,5.081414903266578,-4.876608276367193,0.002,-7.7798,0.5706644674922965,0.9563685713290416,207.71015372797848,3.1687449172139166
ESR2,random,8,183.87001037597656,4.6023981771081255,-4.25418395996096,0.002,-7.772799999999999,0.5838673174568841,0.9535444515292344,218.12167955860497,3.2174819860607387
ESR2,random,9,183.98476867675782,4.648218968876012,-4.488031005859369,0.0,-7.731399999999999,0.6010337463907064,0.9573098178643977,251.96882047504187,3.2683836586773394
ESR2,random,10,184.5899200439453,4.26171059072548,-4.124145507812477,0.0,-7.7782,0.559777552770428,0.956857085020243,170.49300308451058,3.151354531943798
F2,analytic_ehvi,1,180.45910034179687,2.230138791901676,-1.2242675781249943,0.0,-7.7132000000000005,0.6687847741510858,0.9418459501745066,102.67132840454579,3.378850944712758
F2,analytic_ehvi,2,186.74322814941405,1.372412090199379,0.7028015136718864,0.054000000000000006,-9.0854,0.8060220772837043,0.9559970639148385,128.8680042553693,3.235160318762064
